Performance,,,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
211,Andu Kelati,de GER,MF,Holstein Kiel,21,2002,3.2,2,1,1,4,5,0,6,3,4,,,0,Matches
212,Thomas Keller,de GER,"MF,DF",Heidenheim,24,1999,1.6,2,0,0,6,4,0,0,4,5,,,0,Matches
213,Aljoscha Kemlein,de GER,MF,Union Berlin,19,2004,10.2,3,0,0,15,2,1,5,7,5,,,0,Matches
214,Luca Kerber,de GER,MF,Heidenheim,22,2002,8.7,4,0,0,22,8,0,3,5,16,,,0,Matches
215,Rani Khedira,de GER,MF,Union Berlin,30,1994,30.3,7,0,0,44,19,1,22,47,42,,,0,Matches
216,Joshua Kimmich,de GER,MF,Bayern Munich,29,1995,31.6,4,0,0,15,27,2,177,22,28,,,0,Matches
217,Tim Kleindienst,de GER,FW,Gladbach,28,1995,30.4,5,1,1,75,25,23,15,13,15,,,0,Matches
218,Lukas Klostermann,de GER,DF,RB Leipzig,28,1996,20.4,5,0,0,13,7,0,12,25,14,,,0,Matches
219,Ansgar Knauff,de GER,MF,Eintracht Frankfurt,22,2002,17.7,3,0,0,27,28,11,32,11,22,,,0,Matches
220,Magnus Knudsen,no NOR,MF,Holstein Kiel,23,2001,20.6,7,0,0,27,10,0,7,10,30,,,0,Matches
221,Gregor Kobel,ch SUI,GK,Dortmund,26,1997,32,1,0,0,0,2,0,0,2,0,,,0,Matches
222,Robin Koch,de GER,DF,Eintracht Frankfurt,28,1996,28.7,3,0,0,23,13,1,1,25,11,,,0,Matches
223,Derrick Köhn,gh GHA,"MF,DF",Werder Bremen,25,1999,14.9,2,0,0,14,19,4,56,11,12,,,0,Matches
224,Dominik Kohr,de GER,"DF,MF",Mainz 05,30,1994,25.5,11,1,0,46,36,1,14,42,46,,,0,Matches
225,Marco Komenda,hr CRO,DF,Holstein Kiel,27,1996,14.5,3,0,0,16,13,0,15,7,17,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
226,Mert Kömür,de GER,MF,Augsburg,19,2005,7.3,1,0,0,7,12,3,26,2,2,,,0,Matches
227,Kacper Koscierski,de GER,DF,Bochum,17,2007,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
228,Henri Koudossou,de GER,MF,Augsburg,24,1999,8.3,1,0,0,7,5,2,24,14,9,,,0,Matches
229,Konstantinos Koulierakis,gr GRE,DF,Wolfsburg,20,2003,27.4,4,0,0,24,13,2,13,32,22,,,0,Matches
230,Matej Kovar,cz CZE,GK,Leverkusen,24,2000,5,0,0,0,0,1,0,0,0,0,,,0,Matches
231,Andrej Kramarić,hr CRO,MF,Hoffenheim,33,1991,30.7,4,0,0,12,28,9,116,9,8,,,0,Matches
232,Frans Krätzig,de GER,"MF,DF",Heidenheim,21,2003,13.5,1,0,0,7,4,4,38,18,18,,,0,Matches
233,Frans Krätzig,de GER,DF,Stuttgart,21,2003,0.6,0,0,0,1,0,0,1,0,1,,,0,Matches
234,Tom Krauß,de GER,MF,Bochum,23,2001,12,2,0,0,14,16,0,10,11,17,,,0,Matches
235,Rasmus Kristensen,dk DEN,"DF,MF",Eintracht Frankfurt,27,1997,27.9,4,0,0,25,12,0,60,20,37,,,0,Matches
236,Lukas Kübler,de GER,DF,Freiburg,31,1992,20.5,5,0,0,25,23,1,30,48,20,,,0,Matches
237,Jonah Kusi-Asare,se SWE,FW,Bayern Munich,17,2007,0,0,0,0,0,0,0,0,0,0,,,0,Matches
238,Moritz-Broni Kwarteng,gh GHA,MF,Bochum,26,1998,1.9,1,0,0,3,1,0,1,0,3,,,0,Matches
239,Nediljko Labrović,hr CRO,GK,Augsburg,24,1999,15,0,0,0,0,2,0,0,0,0,,,0,Matches
240,Konrad Laimer,at AUT,DF,Bayern Munich,27,1997,18.9,8,0,0,35,12,1,21,5,24,,,0,Matches
241,Stefan Lainer,at AUT,DF,Gladbach,31,1992,8.4,2,0,0,11,6,3,29,12,13,,,1,Matches
242,Hugo Larsson,se SWE,MF,Eintracht Frankfurt,20,2004,26.6,2,0,0,21,5,2,8,33,29,,,0,Matches
243,Diogo Leite,pt POR,DF,Union Berlin,25,1999,28.3,3,0,0,25,37,2,9,53,34,,,1,Matches
244,Maxim Leitsch,de GER,DF,Mainz 05,26,1998,7.5,2,0,0,10,4,0,3,8,4,,,0,Matches
245,Jamie Leweling,de GER,MF,Stuttgart,23,2001,18.5,4,0,0,17,29,4,57,11,7,,,0,Matches
246,Philipp Lienhart,at AUT,DF,Freiburg,28,1996,30.8,5,0,0,22,19,3,8,31,13,,,0,Matches
247,Marin Ljubicic,hr CRO,FW,Union Berlin,22,2002,3.1,1,0,0,9,8,1,1,0,1,,,0,Matches
248,Anthony Losilla,fr FRA,MF,Bochum,38,1986,12.6,1,0,0,18,9,1,4,18,15,,,0,Matches
249,Yannik Lührs,de GER,DF,Dortmund,20,2003,1.4,0,0,0,2,0,0,0,1,1,,,0,Matches
250,Castello Lukeba,fr FRA,DF,RB Leipzig,21,2002,17.5,2,0,0,12,15,0,11,18,18,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
251,Senne Lynen,be BEL,MF,Werder Bremen,25,1999,30.4,9,0,0,39,25,0,5,64,38,,,0,Matches
252,Shuto Machino,jp JPN,"FW,MF",Holstein Kiel,24,1999,21.7,2,0,0,20,25,9,33,7,5,,,0,Matches
253,Arne Maier,de GER,MF,Augsburg,25,1999,10.4,0,1,0,9,7,0,68,6,6,,,0,Matches
254,Patrick Mainka,de GER,DF,Heidenheim,29,1994,34,3,0,0,17,21,2,5,65,32,,,0,Matches
255,Lovro Majer,hr CRO,MF,Wolfsburg,26,1998,3.4,1,0,0,6,6,0,16,1,2,,,0,Matches
256,Jordy Makengo,fr FRA,DF,Freiburg,22,2001,8.3,1,0,0,5,6,2,25,6,9,,,0,Matches
257,Jarzinho Malanga,de GER,MF,Stuttgart,18,2006,0,0,0,0,0,0,0,0,0,0,,,0,Matches
258,Julián Malatini,ar ARG,DF,Werder Bremen,23,2001,5,1,0,0,9,5,0,3,7,9,,,0,Matches
259,Donyell Malen,nl NED,MF,Dortmund,25,1999,6.8,1,0,0,2,7,3,13,3,0,,,0,Matches
260,Lennard Maloney,us USA,"MF,DF",Heidenheim,24,1999,8.4,1,0,0,11,4,1,0,13,13,,,0,Matches
261,Lennard Maloney,us USA,"DF,MF",Mainz 05,24,1999,0.3,1,0,0,2,0,0,0,0,1,,,0,Matches
262,Johan Manzambi,ch SUI,MF,Freiburg,18,2005,3.7,2,0,0,7,7,0,5,4,3,,,0,Matches
263,Omar Marmoush,eg EGY,"FW,MF",Eintracht Frankfurt,25,1999,16.1,2,0,0,9,55,7,78,4,9,,,0,Matches
264,Giorgos Masouras,gr GRE,FW,Bochum,30,1994,11.7,1,0,0,12,10,15,27,4,10,,,0,Matches
265,Erhan Mašović,rs SRB,"DF,MF",Bochum,25,1998,10.1,2,0,0,12,4,0,0,12,10,,,0,Matches
266,Igor Matanovic,hr CRO,FW,Eintracht Frankfurt,21,2003,3.5,0,0,0,6,11,1,0,1,0,,,0,Matches
267,Chrislain Matsima,fr FRA,DF,Augsburg,22,2002,28.3,4,0,0,11,10,1,3,50,21,,,1,Matches
268,Jean Mattéo Bahoya,fr FRA,MF,Eintracht Frankfurt,19,2005,10.2,3,0,0,9,7,2,31,3,19,,,0,Matches
269,Maurides,br BRA,FW,St Pauli,30,1994,0,0,0,0,0,0,0,0,0,0,,,0,Matches
270,Jakov Medić,hr CRO,DF,Bochum,25,1998,17.8,2,0,0,10,7,2,1,22,10,,,0,Matches
271,Connor Metcalfe,au AUS,"MF,FW",St Pauli,24,1999,4,2,1,1,5,4,0,7,3,0,,,0,Matches
272,Karol Mets,ee EST,DF,St Pauli,31,1993,10,1,0,0,7,5,0,3,11,8,,,0,Matches
273,Alexander Meyer,de GER,GK,Dortmund,33,1991,2,0,0,0,0,0,0,0,0,0,,,0,Matches
274,Florian Micheler,at AUT,MF,Hoffenheim,19,2005,0.4,1,0,0,1,0,0,0,0,0,,,0,Matches
275,Enzo Millot,fr FRA,MF,Stuttgart,22,2002,20.5,9,0,0,25,37,3,41,13,13,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
276,Kim Min-jae,kr KOR,DF,Bayern Munich,27,1996,25.4,2,0,0,25,4,0,0,33,17,,,0,Matches
277,Maximilian Mittelstädt,de GER,"DF,MF",Stuttgart,27,1997,27.4,5,0,0,24,38,2,166,47,55,,,0,Matches
278,Koji Miyoshi,jp JPN,"MF,FW",Bochum,27,1997,5.2,0,1,0,10,4,2,9,2,5,,,0,Matches
279,Max Moerstedt,de GER,"FW,MF",Hoffenheim,18,2006,5,2,0,0,6,10,1,0,0,3,,,0,Matches
280,David Mokwa,fr FRA,FW,Hoffenheim,20,2004,0.2,0,0,0,1,0,0,0,0,0,,,0,Matches
281,Steve Mounié,bj BEN,MF,Augsburg,29,1994,3.9,2,0,0,9,5,1,3,1,4,,,0,Matches
282,Nordi Mukiele,fr FRA,"DF,MF",Leverkusen,26,1997,10,4,0,0,6,14,1,13,16,17,,,1,Matches
283,Florian Müller,de GER,GK,Freiburg,26,1997,8.4,0,0,0,0,1,0,0,0,0,,,0,Matches
284,Kevin Müller,de GER,GK,Heidenheim,33,1991,32.7,0,0,0,0,3,0,0,0,1,,,0,Matches
285,Marius Müller,de GER,GK,Wolfsburg,31,1993,5.3,0,0,0,0,0,0,0,0,0,,,0,Matches
286,Thomas Müller,de GER,"MF,FW",Bayern Munich,34,1989,13.6,3,0,0,14,12,3,46,2,6,,,0,Matches
287,Jamal Musiala,de GER,MF,Bayern Munich,21,2003,20,3,0,0,20,55,2,8,7,21,,,0,Matches
288,Florent Muslija,xk KVX,"FW,MF",Freiburg,26,1998,1.9,0,0,0,0,2,0,14,2,4,,,0,Matches
289,Phillipp Mwene,at AUT,MF,Mainz 05,30,1994,29,7,0,0,24,24,3,86,24,30,,,0,Matches
290,Joakim Mæhle,dk DEN,"DF,MF",Wolfsburg,27,1997,24.3,6,0,0,9,16,0,25,26,14,,,0,Matches
291,Nathan N'Goumou,cm CMR,MF,Gladbach,24,2000,9.2,0,0,0,7,12,7,21,4,11,,,0,Matches
292,Stanley N'Soki,fr FRA,DF,Hoffenheim,25,1999,14.5,3,1,0,12,6,0,1,28,18,,,2,Matches
293,Nikolas Nartey,dk DEN,MF,Stuttgart,24,2000,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches
294,Paul Nebel,de GER,MF,Mainz 05,21,2002,26.1,5,1,1,37,38,5,111,14,27,,,0,Matches
295,Kosta Nedeljković,rs SRB,"DF,MF",RB Leipzig,18,2005,5.3,1,0,0,7,1,1,17,2,8,,,0,Matches
296,Ivan Nekić,hr CRO,DF,Holstein Kiel,23,2000,0.8,0,0,0,1,0,0,0,3,1,,,0,Matches
297,David Nemeth,at AUT,DF,St Pauli,23,2001,23.7,3,0,0,21,14,0,7,18,29,,,0,Matches
298,Luca Netz,de GER,DF,Gladbach,21,2003,10.8,2,0,0,8,6,1,16,10,14,,,0,Matches
299,Manuel Neuer,de GER,GK,Bayern Munich,38,1986,22,0,0,0,0,1,0,0,0,0,,,0,Matches
300,Florian Neuhaus,de GER,MF,Gladbach,27,1997,4.2,1,0,0,4,7,0,8,6,3,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
301,Moritz Nicolas,de GER,GK,Gladbach,26,1997,18.2,0,0,0,0,0,0,0,1,0,,,0,Matches
302,Julian Niehues,de GER,MF,Heidenheim,23,2001,1.7,1,0,0,1,2,0,0,0,1,,,0,Matches
303,Justin Njinmah,de GER,"FW,MF",Werder Bremen,23,2000,10.6,1,0,0,7,17,12,19,4,1,,,0,Matches
304,Niels Nkounkou,fr FRA,"MF,DF",Eintracht Frankfurt,23,2000,4.2,1,0,0,5,2,0,23,9,9,,,0,Matches
305,Felix Nmecha,de GER,MF,Dortmund,23,2000,16.8,3,0,0,22,26,0,6,24,21,,,0,Matches
306,Lukas Nmecha,de GER,FW,Wolfsburg,25,1998,5.2,1,0,0,7,15,0,6,2,0,,,0,Matches
307,Arnaud Nordin,fr FRA,"FW,MF",Mainz 05,26,1998,0.9,0,0,0,1,3,0,9,0,0,,,0,Matches
308,Alexander Nübel,de GER,GK,Stuttgart,27,1996,34,0,0,0,0,4,0,0,0,0,,,0,Matches
309,Antonio Nusa,no NOR,"MF,DF",RB Leipzig,19,2005,17.3,0,0,0,14,28,9,35,8,17,,,0,Matches
310,David Odogu,de GER,DF,Wolfsburg,18,2006,2.2,0,0,0,2,0,1,0,2,4,,,0,Matches
311,Tim Oermann,de GER,DF,Bochum,20,2003,24.6,0,0,0,16,8,0,14,24,30,,,0,Matches
312,Ifechukwu Ogbus,ch SUI,DF,Freiburg,18,2005,0.2,0,0,0,1,0,0,0,1,1,,,0,Matches
313,Finn Ole Becker,de GER,MF,Hoffenheim,24,2000,7.4,1,0,0,5,7,0,8,9,5,,,0,Matches
314,Michael Olise,fr FRA,MF,Bayern Munich,22,2001,25.9,3,0,0,22,66,5,134,8,20,,,0,Matches
315,Jonas Omlin,ch SUI,GK,Gladbach,30,1994,10.9,0,1,0,1,1,0,0,0,0,,,0,Matches
316,Karim Onisiwo,at AUT,MF,Mainz 05,32,1992,1.2,0,0,0,3,2,1,2,0,0,,,0,Matches
317,Frank Onyeka,ng NGA,MF,Augsburg,26,1998,28.7,8,0,0,47,74,3,20,37,46,,,0,Matches
318,Loïs Openda,be BEL,FW,RB Leipzig,24,2000,27.3,5,1,1,29,77,27,27,5,4,,,0,Matches
319,Gift Orban,ng NGA,FW,Hoffenheim,22,2002,7.6,2,0,0,15,7,8,6,0,1,,,0,Matches
320,Willi Orban,hu HUN,DF,RB Leipzig,31,1992,24.7,4,2,0,23,14,4,5,20,24,,,0,Matches
321,Ivan Ordets,ua UKR,DF,Bochum,32,1992,20.7,6,0,0,22,19,2,1,43,8,,,0,Matches
322,Patrick Osterhage,de GER,MF,Freiburg,24,2000,25.2,6,1,1,25,22,5,21,22,29,,,0,Matches
323,Assan Ouedraogo,de GER,MF,RB Leipzig,18,2006,0.6,0,0,0,1,3,0,1,0,0,,,0,Matches
324,Salih Özcan,tr TUR,MF,Wolfsburg,26,1998,3.9,0,0,0,5,6,0,8,7,2,,,0,Matches
325,Salih Özcan,tr TUR,MF,Dortmund,26,1998,4.3,0,0,0,11,7,1,2,10,6,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
326,Exequiel Palacios,ar ARG,MF,Leverkusen,25,1998,12.8,2,0,0,9,18,1,4,12,15,,,0,Matches
327,João Palhinha,pt POR,MF,Bayern Munich,29,1995,7.5,2,1,0,13,10,0,2,4,14,,,0,Matches
328,Mats Pannewig,de GER,MF,Bochum,19,2004,3,1,0,0,5,1,0,3,2,7,,,0,Matches
329,Kevin Paredes,us USA,MF,Wolfsburg,21,2003,1.4,1,0,0,1,4,0,1,1,2,,,0,Matches
330,Felix Passlack,de GER,"MF,DF",Bochum,26,1998,25.9,4,0,0,28,21,2,111,19,24,,,0,Matches
331,Aleksandar Pavlovic,de GER,MF,Bayern Munich,20,2004,16.1,2,0,0,17,9,0,5,6,22,,,0,Matches
332,Mads Pedersen,dk DEN,DF,Augsburg,27,1996,2.6,0,0,0,5,1,1,5,2,7,,,0,Matches
333,Jordan Pefok,us USA,FW,Union Berlin,28,1996,10.1,2,0,0,22,15,7,0,4,6,,,0,Matches
334,Daniel Peretz,il ISR,GK,Bayern Munich,24,2000,3,1,0,0,0,2,0,0,0,0,,,0,Matches
335,Noah Pesch,hr CRO,FW,Gladbach,19,2005,0.1,0,0,0,1,0,0,0,0,0,,,0,Matches
336,Luca Philipp,de GER,GK,Hoffenheim,23,2000,6,0,0,0,0,0,0,0,0,0,,,0,Matches
337,Maximilian Philipp,de GER,"FW,MF",Freiburg,30,1994,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches
338,Benedikt Pichler,at AUT,FW,Holstein Kiel,27,1997,8.7,1,0,0,14,16,13,10,2,3,,,0,Matches
339,Amos Pieper,de GER,DF,Werder Bremen,26,1998,16.6,3,0,0,11,11,0,4,23,17,,,0,Matches
340,Marvin Pieringer,de GER,FW,Heidenheim,24,1999,24.5,7,0,0,50,46,15,11,8,11,,,0,Matches
341,Alassane Pléa,fr FRA,MF,Gladbach,31,1993,21.1,3,0,0,18,33,8,44,1,4,,,0,Matches
342,Finn Porath,de GER,MF,Holstein Kiel,27,1997,21.9,3,0,0,31,37,0,84,19,27,,,0,Matches
343,Yussuf Poulsen,dk DEN,"MF,FW",RB Leipzig,30,1994,4.2,1,0,0,8,14,1,2,0,5,,,0,Matches
344,Alexander Prass,at AUT,"MF,DF",Hoffenheim,23,2001,17.4,1,0,0,17,25,0,55,11,24,,,0,Matches
345,David Preu,de GER,MF,Union Berlin,19,2004,1.3,1,0,0,1,1,1,4,0,0,,,0,Matches
346,Grischa Prömel,de GER,MF,Hoffenheim,29,1995,1.9,0,0,0,0,3,0,2,1,0,,,0,Matches
347,Ivan Prtajin,hr CRO,FW,Union Berlin,28,1996,1.8,0,0,0,1,1,2,3,0,2,,,0,Matches
348,Tymoteusz Puchacz,pl POL,MF,Holstein Kiel,25,1999,4.4,0,0,0,2,7,1,38,3,5,,,0,Matches
349,Leopold Querfeld,at AUT,DF,Union Berlin,20,2003,19.4,8,0,0,20,13,0,1,17,15,,,0,Matches
350,Grant Ranos,am ARM,FW,Gladbach,21,2003,0.2,1,0,0,1,0,0,0,0,0,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
351,David Raum,de GER,"MF,DF",RB Leipzig,26,1998,19.8,5,0,0,23,10,6,188,10,28,,,0,Matches
352,Rocco Reitz,de GER,MF,Gladbach,22,2002,20.3,1,0,0,19,38,0,23,54,24,,,0,Matches
353,Nicolai Remberg,de GER,MF,Holstein Kiel,24,2000,26.9,11,0,0,43,45,2,8,29,24,,,2,Matches
354,Elvis Rexhbeçaj,xk KVX,MF,Augsburg,26,1997,19.8,8,0,0,13,42,1,70,16,19,,,0,Matches
355,Gio Reyna,us USA,MF,Dortmund,21,2002,3.9,3,0,0,8,3,0,15,0,0,,,0,Matches
356,Fabian Rieder,ch SUI,MF,Stuttgart,22,2002,9.6,1,0,0,14,11,0,40,11,15,,,0,Matches
357,Lasse Rieß,de GER,GK,Mainz 05,23,2001,2,0,0,0,0,0,0,0,0,0,,,0,Matches
358,Lars Ritzka,de GER,"MF,DF",St Pauli,26,1998,10.2,1,0,0,10,6,1,19,10,28,,,0,Matches
359,Mads Roerslev,dk DEN,DF,Wolfsburg,25,1999,3.3,0,0,0,2,3,0,7,5,8,,,0,Matches
360,Merlin Röhl,de GER,MF,Freiburg,22,2002,10.7,2,0,0,22,19,0,12,4,9,,,0,Matches
361,Lasse Rosenboom,de GER,MF,Holstein Kiel,22,2002,19.3,3,0,0,19,12,0,18,19,35,,,0,Matches
362,Max Rosenfelder,de GER,DF,Freiburg,21,2003,13.9,2,0,0,8,14,1,9,8,17,,,0,Matches
363,Tom Rothe,de GER,"MF,DF",Union Berlin,19,2004,18.6,4,1,0,25,11,2,46,18,30,,,0,Matches
364,Anthony Rouault,fr FRA,DF,Stuttgart,23,2001,13.5,1,0,0,19,8,0,1,17,11,,,0,Matches
365,Jérôme Roussillon,fr FRA,DF,Union Berlin,31,1993,1.5,0,0,0,1,3,0,10,2,0,,,0,Matches
366,Julian Ryerson,no NOR,"DF,MF",Dortmund,26,1997,25.1,6,1,1,31,23,0,111,23,28,,,0,Matches
367,Frederik Rønnow,dk DEN,GK,Union Berlin,31,1992,28,2,0,0,0,4,0,0,0,0,,,0,Matches
368,Elias Saad,tn TUN,"FW,MF",St Pauli,24,1999,10,1,0,0,17,24,7,14,4,14,,,0,Matches
369,Marcel Sabitzer,at AUT,MF,Dortmund,30,1994,18,3,0,0,12,9,0,23,10,19,,,0,Matches
370,Faik Sakar,de GER,MF,RB Leipzig,16,2008,0,0,0,0,0,0,0,0,0,0,,,0,Matches
371,Manolis Saliakas,gr GRE,MF,St Pauli,27,1996,25.7,4,0,0,16,15,0,83,16,23,,,0,Matches
372,Roland Sallai,hu HUN,"DF,FW",Freiburg,27,1997,0.5,0,0,0,0,1,0,4,1,1,,,0,Matches
373,Diadie Samassékou,ml MLI,MF,Hoffenheim,28,1996,3.2,0,0,0,5,4,0,0,5,6,,,0,Matches
374,Philipp Sander,de GER,MF,Gladbach,26,1998,15.6,2,0,0,16,7,0,22,22,17,,,0,Matches
375,James Sands,us USA,MF,St Pauli,24,2000,5,1,0,0,11,5,1,2,6,7,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
376,Leroy Sané,de GER,MF,Bayern Munich,28,1996,18.2,2,0,0,16,25,6,50,7,14,,,0,Matches
377,Kaishu Sano,jp JPN,MF,Mainz 05,23,2000,33.8,3,0,0,16,33,2,11,63,33,,,0,Matches
378,Kauã Santos,br BRA,GK,Eintracht Frankfurt,21,2003,8.5,0,0,0,0,2,0,0,0,0,,,1,Matches
379,Joe Scally,us USA,DF,Gladbach,21,2002,28.6,6,0,0,23,47,1,49,18,32,,,0,Matches
380,András Schäfer,hu HUN,MF,Union Berlin,25,1999,17,3,0,0,27,33,0,17,24,25,,,0,Matches
381,Patrik Schick,cz CZE,FW,Leverkusen,28,1996,18.7,4,0,0,23,23,7,1,4,5,,,0,Matches
382,Stefan Schimmer,de GER,FW,Heidenheim,30,1994,2.7,1,0,0,2,1,2,2,0,0,,,0,Matches
383,Xaver Schlager,at AUT,MF,RB Leipzig,26,1997,2,1,0,0,4,3,0,1,0,1,,,0,Matches
384,Keven Schlotterbeck,de GER,DF,Augsburg,27,1997,14.4,4,1,1,10,11,1,3,18,17,,,0,Matches
385,Nico Schlotterbeck,de GER,DF,Dortmund,24,1999,22,7,2,1,18,19,0,14,15,25,,,0,Matches
386,Romano Schmid,at AUT,MF,Werder Bremen,24,2000,31.5,4,0,0,28,42,3,143,12,25,,,0,Matches
387,Jan Schöppner,de GER,MF,Heidenheim,25,1999,29.8,8,0,0,31,20,2,12,43,31,,,0,Matches
388,Marvin Schulz,de GER,"DF,MF",Holstein Kiel,29,1995,3.4,3,0,0,6,1,0,12,0,4,,,0,Matches
389,Alexander Schwolow,de GER,GK,Union Berlin,32,1992,6,0,0,0,0,0,0,0,0,0,,,0,Matches
390,Léo Scienza,br BRA,"MF,FW",Heidenheim,25,1998,12.8,1,0,0,16,63,5,81,5,11,,,0,Matches
391,Nicolas Seiwald,at AUT,"MF,DF",RB Leipzig,23,2001,23.2,2,0,0,27,2,0,46,31,32,,,0,Matches
392,Benjamin Šeško,si SVN,"FW,MF",RB Leipzig,21,2003,26.4,2,1,1,26,20,18,7,4,3,,,0,Matches
393,Armindo Sieb,de GER,"MF,FW",Mainz 05,21,2003,8.5,2,0,0,13,13,10,6,1,5,,,0,Matches
394,Tim Siersleben,de GER,DF,Heidenheim,24,2000,13.1,4,0,0,16,7,0,10,20,14,,,0,Matches
395,Kiliann Sildillia,fr FRA,DF,Freiburg,22,2002,8.9,2,0,0,10,9,1,19,10,9,,,0,Matches
396,André Silva,pt POR,FW,Werder Bremen,28,1995,4.2,1,0,0,4,7,2,2,0,2,,,0,Matches
397,André Silva,pt POR,FW,RB Leipzig,28,1995,1.5,0,0,0,0,2,0,0,0,1,,,0,Matches
398,Mohamed Simakan,fr FRA,DF,RB Leipzig,24,2000,0.6,0,0,0,0,1,0,1,2,0,,,0,Matches
399,Xavi Simons,nl NED,MF,RB Leipzig,21,2003,23.9,5,0,0,24,56,5,80,13,22,,,0,Matches
400,Danel Sinani,lu LUX,"FW,MF",St Pauli,27,1997,13.9,3,0,0,25,14,4,70,2,11,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
401,Tobias Sippel,de GER,GK,Gladbach,36,1988,0.7,0,0,0,0,0,0,0,0,0,,,0,Matches
402,Ibrahima Sissoko,ml MLI,MF,Bochum,26,1997,29,11,1,1,76,29,2,21,33,40,,,0,Matches
403,Tim Skarke,de GER,"FW,MF",Union Berlin,27,1996,12.9,1,0,0,10,15,10,28,5,12,,,0,Matches
404,Ellyes Skhiri,tn TUN,MF,Eintracht Frankfurt,29,1995,24.8,6,0,0,21,19,2,3,34,24,,,0,Matches
405,Leo Skiri Østigård,no NOR,DF,Hoffenheim,24,1999,10.3,0,1,0,18,5,1,2,10,7,,,1,Matches
406,Andreas Skov Olsen,dk DEN,"MF,FW",Wolfsburg,24,1999,5.9,0,0,0,2,3,2,29,2,7,,,0,Matches
407,Robert Skov,dk DEN,"MF,DF",Union Berlin,28,1996,9.5,1,0,0,14,10,1,62,9,10,,,0,Matches
408,Steven Skrzybski,de GER,"FW,MF",Holstein Kiel,31,1992,14.7,0,0,0,16,22,2,30,13,8,,,0,Matches
409,Eric Smith,se SWE,"DF,MF",St Pauli,27,1997,31.4,7,0,0,27,24,3,100,37,27,,,0,Matches
410,Anton Stach,de GER,"MF,DF",Hoffenheim,25,1998,28.7,8,0,0,39,34,0,23,49,47,,,0,Matches
411,Jens Stage,dk DEN,MF,Werder Bremen,27,1996,24.5,10,0,0,37,30,4,24,18,29,,,0,Matches
412,Josip Stanišić,hr CRO,DF,Bayern Munich,24,2000,9.7,0,0,0,2,4,0,11,5,11,,,0,Matches
413,Niklas Stark,de GER,DF,Werder Bremen,29,1995,23.4,6,1,1,30,28,2,4,36,24,,,0,Matches
414,Pascal Stenzel,de GER,DF,Stuttgart,28,1996,3.2,0,0,0,4,2,0,27,2,2,,,0,Matches
415,Leonidas Stergiou,ch SUI,DF,Stuttgart,22,2002,9.5,0,1,0,6,0,1,14,14,11,,,0,Matches
416,Finley Stevens,wls WAL,DF,St Pauli,21,2003,0,0,0,0,0,0,0,0,0,0,,,0,Matches
417,Angelo Stiller,de GER,MF,Stuttgart,23,2001,30.5,6,0,0,21,48,1,94,26,26,,,1,Matches
418,Kevin Stöger,at AUT,MF,Gladbach,30,1993,17.2,3,0,0,22,40,1,114,14,20,,,0,Matches
419,Niklas Süle,de GER,DF,Dortmund,28,1995,11.7,1,0,0,5,2,0,1,3,12,,,0,Matches
420,Mattias Svanberg,se SWE,MF,Wolfsburg,25,1999,13.5,4,0,0,16,22,0,34,15,10,,,0,Matches
421,Daniel Svensson,se SWE,"MF,DF",Dortmund,22,2002,8.7,0,0,0,4,7,1,36,5,11,,,0,Matches
422,Haris Tabakovic,ba BIH,FW,Hoffenheim,30,1994,9.1,0,0,0,15,8,11,4,1,0,,,0,Matches
423,Jonathan Tah,de GER,DF,Leverkusen,28,1996,33,3,0,0,16,5,0,7,37,14,,,0,Matches
424,Edmond Tapsoba,bf BFA,DF,Leverkusen,25,1999,27.9,4,0,0,34,6,1,8,24,21,,,1,Matches
